藤ヶ谷 陽介,0,5,7,0,1,7,6,22
西澤 淳二,1,5,6,3,7,6,7,13
佐藤 尽,1,5,4,3,6,3,4,1
大森 健作,2,5,1,0,7,7,8,38
中尾 康二,3,7,5,3,4,5,7,46
吉瀬 広志,3,6,1,0,3,3,4,40
鎌田 安啓,5,8,2,3,4,3,4,22
三原 廣樹,3,6,5,1,3,6,6,41
砂川 誠,5,6,0,3,4,3,4,12
清野 智秋,6,6,4,3,3,3,2,15
堀井 岳也,6,6,7,3,4,5,3,19
相川 進也,6,6,2,1,4,5,6,11
鈴木 智樹,3,8,4,0,3,2,4,1
桑原 剛,5,7,2,0,4,3,7,40
曽田 雄志,1,6,4,3,3,4,2,1
阿部 哲也,0,7,5,1,3,3,3,1
新居 辰基,6,6,4,3,3,3,2,1
斉川 雄介,6,8,0,1,3,2,6,1
市村 篤司,3,7,2,3,1,1,6,1
尾崎 祐司,4,7,4,0,4,2,1,1
上里 一将,5,8,2,3,4,3,4,47
岡田 佑樹,2,7,0,2,4,7,3,22
田畑 昭宏,1,6,3,3,4,3,3,11
河端 和哉,2,7,0,3,4,7,3,1
蛯沢 匠吾,0,8,2,3,4,7,5,1
上田 常幸,1,8,1,0,6,5,6,45
小針 清允,0,5,5,4,6,5,6,13
渡辺 晋,1,5,2,3,7,6,8,13
ｶﾞｽﾊﾟﾙ,1,5,2,3,7,6,8,85
森川 拓巳,2,5,2,3,7,6,6,22
ｼﾙﾋﾞｰﾆｮ,3,4,5,1,4,4,5,157
石井 俊也,3,6,5,4,3,4,4,22
財前 宣之,5,5,4,3,3,4,6,1
菅井 直樹,3,6,6,3,4,4,3,6
村上 和弘,3,6,5,0,3,6,6,24
大柴 克友,6,5,7,3,3,4,2,19
佐藤 寿人,6,4,4,3,1,7,5,11
數馬 正浩,1,6,0,3,4,3,3,14
原崎 政人,4,6,0,0,1,4,4,2
西谷 正也,4,5,5,1,2,4,5,36
萬代 宏樹,6,8,0,3,3,2,6,4
高桑 大二朗,0,5,5,4,7,8,8,13
小原 章吾,1,6,3,5,3,2,4,14
村田 達哉,2,6,2,3,6,7,6,13
千葉 直樹,3,6,5,2,6,7,6,4
中田 洋介,5,7,2,3,4,3,7,3
関口 訓充,5,8,2,0,4,3,4,13
西 洋祐,4,7,7,1,4,5,4,4
ﾏﾙｺｽ,6,4,2,4,7,8,8,157
中原 貴之,6,6,4,0,4,7,8,35
萩原 達郎,0,7,2,3,3,4,2,46
大河内 英樹,1,8,2,3,4,3,5,23
秋葉 竜児,4,7,7,1,4,5,4,22
森田 耕一郎,0,6,3,3,7,1,5,13
曽ヶ端 準,0,3,4,3,4,4,5,8
名良橋 晃,2,3,5,1,5,9,7,12
金古 聖司,1,6,2,5,2,3,2,40
大岩 剛,1,3,5,3,6,7,7,22
新井場 徹,2,4,4,3,6,7,6,27
中田 浩二,3,3,4,2,4,3,5,25
小笠原 満男,5,3,1,2,4,7,3,3
本山 雅志,5,4,0,3,3,3,4,40
ﾌｪﾙﾅﾝﾄﾞ,3,4,7,4,5,4,6,157
ﾌｧﾋﾞｵ･ｼﾞｭﾆｵｰﾙ,6,3,3,5,1,2,4,157
平瀬 智行,6,5,5,4,3,3,5,13
岩政 大樹,1,6,2,3,2,3,2,35
熊谷 浩二,3,5,2,5,7,6,8,2
青木 剛,3,4,2,3,3,3,2,10
深井 正樹,6,4,4,3,1,3,3,19
小澤 英明,0,5,6,1,6,7,7,8
羽田 憲司,1,5,6,1,3,1,4,12
池内 友彦,1,6,2,3,4,4,4,1
内田 潤,2,5,7,0,7,8,8,28
石川 竜也,2,5,0,0,4,6,5,22
本田 泰人,3,4,5,4,7,6,8,40
大谷 昌司,5,6,2,3,5,4,6,10
野沢 拓也,5,5,4,0,3,5,4,8
中島 裕希,6,5,0,3,7,3,6,16
首藤 慎一,0,7,4,3,1,5,5,44
増田 誓志,5,7,2,3,4,3,7,45
田中 康平,6,8,0,0,3,2,6,1
杉山 哲,0,7,4,3,1,5,5,43
都築 龍太,0,3,7,3,7,6,6,29
坪井 慶介,1,3,4,3,6,6,5,13
田中 ﾏﾙｸｽ闘莉王,1,4,5,4,2,2,1,49
室井 市衛,1,5,3,2,7,8,6,11
山田 暢久,4,3,3,5,6,7,6,22
酒井 友之,3,4,4,4,6,6,6,11
